,centro,comunidad,especialidad,localidad,plazas
0,ÁREA SANITARIA CAMPO DE GIBRALTAR - H. DE LA LÍNEA DE LA CONCEPCION,ANDALUCIA,OBSTETRICIA Y GINECOLOGÍA,LA LÍNEA DE LA CONCEPCIÓN,1
1,ÁREA SANITARIA CAMPO DE GIBRALTAR - H. PUNTA DE EUROPA,ANDALUCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,ALGECIRAS,1
2,ÁREA SANITARIA CAMPO DE GIBRALTAR - H. PUNTA DE EUROPA,ANDALUCIA,MEDICINA INTENSIVA,ALGECIRAS,1
3,ÁREA SANITARIA CAMPO DE GIBRALTAR - H. PUNTA DE EUROPA,ANDALUCIA,MEDICINA INTERNA,ALGECIRAS,2
4,ÁREA SANITARIA CAMPO DE GIBRALTAR - H. PUNTA DE EUROPA,ANDALUCIA,OBSTETRICIA Y GINECOLOGÍA,ALGECIRAS,1
5,ÁREA SANITARIA CAMPO DE GIBRALTAR - H. PUNTA DE EUROPA,ANDALUCIA,OFTALMOLOGÍA,ALGECIRAS,1
6,ÁREA SANITARIA DE OSUNA - H. DE LA MERCED,ANDALUCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,OSUNA,1
7,ÁREA SANITARIA DE OSUNA - H. DE LA MERCED,ANDALUCIA,MEDICINA INTERNA,OSUNA,1
8,ÁREA SANITARIA DE OSUNA - H. DE LA MERCED,ANDALUCIA,OBSTETRICIA Y GINECOLOGÍA,OSUNA,1
9,ÁREA SANITARIA DE OSUNA - H. DE LA MERCED,ANDALUCIA,PSIQUIATRÍA,OSUNA,1
10,ÁREA SANITARIA NORTE DE MÁLAGA - H. DE ANTEQUERA,ANDALUCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,ANTEQUERA,1
11,ÁREA SANITARIA NORTE DE MÁLAGA - H. DE ANTEQUERA,ANDALUCIA,MEDICINA INTERNA,ANTEQUERA,2
12,ÁREA SANITARIA SERRANÍA DE MÁLAGA - H. DE LA SERRANÍA,ANDALUCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,RONDA,1
13,ÁREA SANITARIA SERRANÍA DE MÁLAGA - H. DE LA SERRANÍA,ANDALUCIA,MEDICINA INTERNA,RONDA,1
14,C.H. DE JAÉN,ANDALUCIA,ALERGOLOGÍA,JAÉN,1
15,C.H. DE JAÉN,ANDALUCIA,ANÁLISIS CLÍNICOS,JAÉN,1
16,C.H. DE JAÉN,ANDALUCIA,ANESTESIOLOGÍA Y REANIMACIÓN,JAÉN,3
17,C.H. DE JAÉN,ANDALUCIA,APARATO DIGESTIVO,JAÉN,1
18,C.H. DE JAÉN,ANDALUCIA,CARDIOLOGÍA,JAÉN,1
19,C.H. DE JAÉN,ANDALUCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,JAÉN,1
20,C.H. DE JAÉN,ANDALUCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,JAÉN,2
21,C.H. DE JAÉN,ANDALUCIA,ENDOCRINOLOGÍA Y NUTRICIÓN,JAÉN,1
22,C.H. DE JAÉN,ANDALUCIA,HEMATOLOGÍA Y HEMOTERAPIA,JAÉN,1
23,C.H. DE JAÉN,ANDALUCIA,MEDICINA INTENSIVA,JAÉN,2
24,C.H. DE JAÉN,ANDALUCIA,MEDICINA INTERNA,JAÉN,2
25,C.H. DE JAÉN,ANDALUCIA,NEFROLOGÍA,JAÉN,1
26,C.H. DE JAÉN,ANDALUCIA,OBSTETRICIA Y GINECOLOGÍA,JAÉN,2
27,C.H. DE JAÉN,ANDALUCIA,OFTALMOLOGÍA,JAÉN,1
28,C.H. DE JAÉN,ANDALUCIA,ONCOLOGÍA MÉDICA,JAÉN,1
29,C.H. DE JAÉN,ANDALUCIA,OTORRINOLARINGOLOGÍA,JAÉN,1
30,C.H. DE JAÉN,ANDALUCIA,RADIODIAGNÓSTICO,JAÉN,1
31,C.H. DE JAÉN,ANDALUCIA,UROLOGÍA,JAÉN,1
32,C.H. TORRECÁRDENAS,ANDALUCIA,ANATOMÍA PATOLÓGICA,ALMERÍA,1
33,C.H. TORRECÁRDENAS,ANDALUCIA,ANESTESIOLOGÍA Y REANIMACIÓN,ALMERÍA,2
34,C.H. TORRECÁRDENAS,ANDALUCIA,APARATO DIGESTIVO,ALMERÍA,2
35,C.H. TORRECÁRDENAS,ANDALUCIA,CARDIOLOGÍA,ALMERÍA,2
36,C.H. TORRECÁRDENAS,ANDALUCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,ALMERÍA,1
37,C.H. TORRECÁRDENAS,ANDALUCIA,CIRUGÍA ORAL Y MAXILOFACIAL,ALMERÍA,1
38,C.H. TORRECÁRDENAS,ANDALUCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,ALMERÍA,2
39,C.H. TORRECÁRDENAS,ANDALUCIA,HEMATOLOGÍA Y HEMOTERAPIA,ALMERÍA,1
